date,x,y,B4_red_reflectance,B5_rededge_reflectance
2026-08-01,0,0,0.04126,0.04949
2026-08-01,1,0,0.04469,0.05362
2026-08-01,2,0,0.04391,0.04967
2026-08-01,3,0,0.04379,0.05108
2026-08-01,4,0,0.0416,0.05003
2026-08-01,5,0,0.04481,0.05344
2026-08-01,6,0,0.04241,0.04828
2026-08-01,7,0,0.04387,0.05217
2026-08-01,8,0,0.04517,0.05119
2026-08-01,9,0,0.04215,0.05028
2026-08-01,10,0,0.04117,0.04961
2026-08-01,11,0,0.04425,0.05048
2026-08-01,12,0,0.04142,0.04943
2026-08-01,13,0,0.0411,0.04944
2026-08-01,14,0,0.0427,0.05115
2026-08-01,15,0,0.04438,0.05109
2026-08-01,16,0,0.04504,0.05453
2026-08-01,17,0,0.04366,0.05157
2026-08-01,18,0,0.04052,0.04891
2026-08-01,19,0,0.04377,0.05279
2026-08-01,20,0,0.04323,0.05209
2026-08-01,21,0,0.04404,0.05259
2026-08-01,22,0,0.04445,0.05072
2026-08-01,23,0,0.04382,0.05172
2026-08-01,0,1,0.04141,0.04823
2026-08-01,1,1,0.04054,0.04822
2026-08-01,2,1,0.04269,0.05039
2026-08-01,3,1,0.0472,0.05535
2026-08-01,4,1,0.04445,0.05052
2026-08-01,5,1,0.0429,0.05228
2026-08-01,6,1,0.0441,0.0535
2026-08-01,7,1,0.04246,0.05051
2026-08-01,8,1,0.04343,0.05267
2026-08-01,9,1,0.04162,0.05
2026-08-01,10,1,0.04331,0.05015
2026-08-01,11,1,0.04246,0.05125
2026-08-01,12,1,0.04371,0.05151
2026-08-01,13,1,0.04251,0.04966
2026-08-01,14,1,0.04288,0.05111
2026-08-01,15,1,0.04385,0.05126
2026-08-01,16,1,0.043,0.05224
2026-08-01,17,1,0.04406,0.05204
2026-08-01,18,1,0.04167,0.05019
2026-08-01,19,1,0.04155,0.04846
2026-08-01,20,1,0.04065,0.04784
2026-08-01,21,1,0.04489,0.0518
2026-08-01,22,1,0.04455,0.05218
2026-08-01,23,1,0.04209,0.04918
2026-08-01,0,2,0.04583,0.05276
2026-08-01,1,2,0.04274,0.05026
2026-08-01,2,2,0.04217,0.0513
2026-08-01,3,2,0.04459,0.05211
2026-08-01,4,2,0.04225,0.05004
2026-08-01,5,2,0.04513,0.05212
2026-08-01,6,2,0.04067,0.04848
2026-08-01,7,2,0.04363,0.05162
2026-08-01,8,2,0.0467,0.05281
2026-08-01,9,2,0.04654,0.05213
2026-08-01,10,2,0.04248,0.05122
2026-08-01,11,2,0.04182,0.04852
2026-08-01,12,2,0.04228,0.05014
2026-08-01,13,2,0.04396,0.0507
2026-08-01,14,2,0.04501,0.05468
2026-08-01,15,2,0.04114,0.04871
2026-08-01,16,2,0.04387,0.05165
2026-08-01,17,2,0.04505,0.05322
2026-08-01,18,2,0.04528,0.05352
2026-08-01,19,2,0.04285,0.05096
2026-08-01,20,2,0.04197,0.04944
2026-08-01,21,2,0.045,0.04989
2026-08-01,22,2,0.04378,0.05221
2026-08-01,23,2,0.043,0.04939
