"SiteID","ExperimentID","PondID","DateTime","StrainID","SourceID","BatchID","TreatmentID","time.between.harvests.days","Harvest.","Harvest.Vol..L.","AFDW..g.L.","AFDW..g.","crash","Comments","Duration.days","Depth.cm","Evaporation.Rate.cm.day","pH","Salinity","Temp.C","NO3.mg.L","NO3.PCT.RSD","NH4.mg.L","NH4.PCT.RSD","P.mg.L","P.PCT.RSD","N.P.ratio","Analytical.Sample.ID","Tracking.ID","DW.g.L","DW.RSD","AFDW.g.L","AFDW.RSD","Ash","OD750","OD750.PCT.RSD","OD680","OD680.PCT.RSD","NO3.supplied.g","NO3.utilized.g","NO3.efficiency..","NO3.demand.g.N.g.AFDW","NH4.supplied.g","NH4.utilized.g","NH4.efficiency..","NH4.demand.g.N.g.AFDW","P.supplied.g","P.utilized.g","P.efficiency..","P.demand.g.P.g.AFDW","mg.AFDW_mol.PAR.input","mg.AFDW_kW.GLE.input"
"ASU","APR032014","inoc",2014-04-03 15:30:00,"KA32","INOCULUM","KA32_03212014_CRW",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,"ASU_INOC_04032014_1",382,2.08,1,2.02,1.03,2.88,7.59,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-03 15:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-03 15:59:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,0.02,25,NA,6.85,NA,18.6,110.67,1.04,NA,NA,12.4,0.01,19.76,"",NA,0.11,6.79,0.08,2.7,21.67,0.23,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-04 07:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,0.67,24.5,0.77,6.7,NA,8.1,111.33,0.52,NA,NA,12.63,0.06,19.51,"",NA,0.07,6.87,0.07,6.07,2.06,0.23,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-04 15:45:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,1.01,25,NA,8.32,NA,21.2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-05 07:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,1.67,NA,NA,NA,NA,NA,112.33,1.36,NA,NA,12,0.02,20.73,"",NA,0.07,9.74,0.07,5.88,7.85,0.23,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-07 07:15:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,3.66,23.5,0.57,NA,NA,NA,110.33,3.66,NA,NA,12.7,0.01,19.24,"",NA,0.11,3.15,0.1,2.28,7.86,0.35,1.46,NA,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA,NA,64.6976090014065,0.142388410821519
"ASU","APR032014","P1",2014-04-07 15:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-08 07:30:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,4.67,24.25,1.12,8.24,NA,11.4,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0.47,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASU","APR032014","P1",2014-04-08 15:14:00,"KA32","KA32_03212014_CRW","KA32_04032014_SPW",NA,NA,NA,NA,NA,NA,NA,NA,4.99,24.5,NA,8.43,NA,25.8,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
